id,rating,might,fights
787236,548,20007,100
983174,549,20247,100
656166,495,18759,100
131879,1181,34704,100
394026,1115,33524,100
656174,730,25753,100
1442607,464,17797,100
655496,459,16816,100
1442612,457,15790,100
787260,543,21455,100
1485621,318,9063,100
394049,946,30830,100
1180482,422,14925,100
394054,390,13946,100
262984,599,21142,100
787273,437,15121,100
1478167,323,11618,100
1418497,438,15739,100
525133,180,3406,100
1442638,144,2300,100
1180495,610,22316,100
1551160,200,3551,100
1311571,408,13795,100
1049428,545,21668,100
1551161,159,2977,100
131929,683,23930,100
1523246,385,11018,100
918364,628,23680,100
1180514,496,18597,100
131943,517,19987,100
131944,900,30189,100
305980,681,25845,100
1311598,481,15957,100
131951,590,20127,100
263025,813,26927,100
787315,469,17670,100
263028,1023,33583,100
656245,703,25294,100
1519717,177,3151,100
787320,892,30251,100
394107,1165,34182,100
394108,783,27957,100
656253,527,21705,100
394110,635,24095,100
178975,1244,36960,100
394114,399,16478,100
131972,1259,37345,100
1551169,261,5725,100
787337,452,17698,100
1510154,352,12950,100
525195,440,16631,100
1551170,182,4282,100
394127,679,24629,100
656272,860,29491,100
1485635,299,8217,100
1442709,409,14242,100
394135,456,17281,100
656281,658,24642,100
1442714,389,10410,100
656283,800,27279,100
1311644,290,8249,100
1311647,412,14741,100
525216,903,30045,100
132005,1160,34324,100
1442726,256,4374,100
656299,175,3316,100
394156,674,24496,100
153074,350,12856,100
1180591,554,20525,100
394161,827,28740,100
918450,308,7555,100
263091,1246,37635,100
656309,802,25959,100
1442746,472,16689,100
263099,671,23714,100
918461,693,24611,100
1049535,548,18093,100
787393,924,29973,100
1518885,423,14164,100
1114273,754,26750,100
787401,628,22968,100
394186,976,32197,100
1180621,347,13120,100
357923,796,26261,100
1180628,509,18129,100
699214,907,31247,100
1442776,404,15110,100
1442778,454,16007,100
787420,324,9196,100
415226,1138,34243,100
525283,915,30512,100
787429,678,24750,100
1049574,472,19967,100
1180647,277,6905,100
1466512,197,3137,100
787436,739,26726,100
366653,1092,33586,100
1512734,350,12476,100
787441,650,23518,100
1311731,488,16106,100
132085,1287,38510,100
1551188,274,5867,100
394234,1146,34299,100
394235,997,31782,100
1180668,567,21241,100
394240,955,30483,100
1543291,278,8599,100
525316,894,30512,100
656389,794,26858,100
656399,238,5117,100
1442834,462,17349,100
918547,691,24737,100
525332,682,24005,100
263190,769,25730,100
394263,944,31136,100
787481,765,26881,100
787484,274,7336,100
525341,505,18102,100
787486,807,27336,100
1311776,422,14420,100
263204,738,26469,100
1463814,250,5351,100
787494,483,18260,100
493226,1044,32564,100
1442856,260,7256,100
174940,696,24996,100
1540711,278,8197,100
132142,1126,34123,100
787504,503,17099,100
852147,1027,32217,100
1311797,421,14483,100
394294,967,31218,100
394297,184,3905,100
394298,708,27204,100
1485663,366,12363,100
1180732,471,17718,100
1442877,449,14887,100
318646,732,25979,100
394306,1083,33632,100
918596,421,15879,100
656453,1113,33667,100
132176,346,12593,100
1026915,846,29489,100
132181,910,29635,100
132182,921,30752,100
571789,1161,35080,100
394330,1017,30762,100
1463823,360,11728,100
525405,813,27799,100
1551205,183,3343,100
1442914,91,2132,100
1289062,620,22334,100
263273,169,3171,100
1442923,311,11235,100
1531944,163,3077,100
787566,775,27912,100
1441981,487,17769,100
656496,1014,31293,100
525425,637,22790,100
918642,589,22291,100
263284,818,28837,100
263285,898,29517,100
394358,470,18757,100
394359,862,27963,100
655551,852,29326,100
787581,833,29200,100
1180802,456,16432,100
1311876,562,21070,100
263301,653,24791,100
132230,1232,35203,100
1442951,297,8895,100
1551212,198,4008,100
1488340,401,13133,100
656527,669,25072,100
1180817,418,14022,100
394387,630,23395,100
525461,640,23973,100
1180822,666,25368,100
1442969,147,2956,100
918682,571,20816,100
787611,737,27362,100
1442973,294,8462,100
656542,620,21091,100
1442975,304,7379,100
918689,646,24215,100
394402,526,19490,100
394403,546,22645,100
787621,143,2665,100
1405415,241,7565,100
918696,675,24504,100
1387957,499,18081,100
1441991,87,2203,100
394413,258,5926,100
1545080,305,6561,100
132276,522,20290,100
1510164,277,8389,100
263352,825,28073,100
371572,603,22473,100
728915,500,20043,100
787643,541,19027,100
1311932,401,14395,100
263357,768,25803,100
1443006,326,11228,100
132287,778,26595,100
263361,1282,38701,100
1531987,326,8622,100
787651,369,13029,100
525509,619,23977,100
394438,804,27382,100
1311943,218,3272,100
132300,904,30274,100
1463842,141,2415,100
589251,815,27731,100
253183,1064,33318,100
1180880,393,15234,100
918737,92,2094,100
218659,562,22726,100
918740,534,19731,100
1311957,448,14537,100
656598,809,27309,100
918745,444,16552,100
263388,1034,32877,100
263389,1102,33149,100
787679,319,11619,100
1311971,449,17937,100
1443044,243,4891,100
1311974,377,12778,100
525544,1087,33744,100
787689,690,25905,100
1443050,122,2451,100
1529383,55,1889,100
132332,407,16287,100
918765,629,22556,100
787696,539,21688,100
1180913,347,11747,100
525556,1065,31295,100
787701,718,25686,100
656630,578,21915,100
787706,770,25381,100
240511,1050,32960,100
1443069,165,3369,100
394494,766,26856,100
394495,1245,36851,100
787712,827,27050,100
1332779,495,19903,100
961409,702,25628,100
787722,680,23839,100
656651,1056,32778,100
394508,1000,32225,100
1180947,587,20219,100
918805,472,17211,100
525591,934,31887,100
132376,939,32229,100
394521,659,24167,100
787738,626,23402,100
394527,844,28086,100
394529,1017,31315,100
787746,739,26019,100
918819,1156,33962,100
918821,347,11649,100
656681,813,26641,100
1312042,504,19108,100
1180974,637,22709,100
787759,492,18554,100
1529395,248,5952,100
1354633,262,6867,100
1529396,237,3892,100
1213381,523,21028,100
918843,501,16562,100
132415,981,31371,100
394560,869,28998,100
787779,615,22227,100
263493,559,21830,100
1049926,419,15118,100
1312073,494,17913,100
1443149,442,16083,100
1049935,748,27753,100
1443152,224,5074,100
1181010,608,21988,100
394580,1264,37143,100
132441,544,21335,100
1287579,255,6222,100
394590,290,8563,100
787809,1045,33314,100
1443170,352,11914,100
1443172,395,12524,100
132453,329,10559,100
1312102,501,18937,100
132456,832,28471,100
132457,436,15506,100
132458,1107,33928,100
132460,1078,33114,100
1483983,435,14302,100
787823,764,27942,100
394608,590,22399,100
1312116,372,13381,100
1409740,457,16358,100
1049977,218,4927,100
132476,1024,31948,100
787837,843,28807,100
132479,1112,33270,100
525699,470,18268,100
656774,514,20405,100
1392329,359,11300,100
263563,1077,33234,100
1181068,555,20653,100
918925,508,19529,100
656784,546,20769,100
803119,663,25108,100
1443220,-6,1051,81
787861,849,29144,100
394648,835,28078,100
1463876,301,9401,100
1443227,439,14426,100
1443232,381,13314,100
394658,1119,33794,100
394659,890,29682,100
1181092,538,21947,100
415302,142,2520,100
787879,564,21506,100
1181096,618,22659,100
1312177,146,2605,100
1181106,678,24122,100
549978,856,29011,100
394677,795,27510,100
787895,510,19515,100
1507572,359,11255,100
263611,405,15309,100
787900,681,24091,100
132541,808,28461,100
787902,869,29152,100
1312191,562,19485,100
1181121,415,15530,100
1267275,555,20087,100
437153,842,29252,100
132552,922,29496,100
1181130,452,15664,100
394699,784,28879,100
918988,105,2190,100
787919,808,26773,100
918993,443,17651,100
1551267,252,4414,100
394708,447,16646,100
656857,791,26915,100
787930,610,21795,100
132572,896,31098,100
762923,686,23989,100
919010,644,24994,100
1443299,292,7349,100
919014,672,25651,100
1181160,599,22530,100
394729,651,24591,100
394730,73,1976,100
1289127,468,19065,100
1440342,-5,1337,92
1443309,319,11783,100
1443310,369,11577,100
1050095,450,16981,100
1181169,443,16629,100
132608,750,26926,100
525825,696,24277,100
1354667,217,3408,100
394757,701,25066,100
394758,760,26509,100
787976,740,25848,100
1443337,110,2246,100
919051,429,16089,100
394766,761,26554,100
1376515,400,14846,100
787988,535,19084,100
132630,540,19796,100
743001,844,28034,100
1443352,159,2809,100
656921,328,10043,100
787995,238,5316,100
1181213,247,6716,100
132641,932,30325,100
132642,720,25260,100
656931,501,19049,100
1312293,362,13887,100
132647,1241,36621,100
656936,795,28564,100
656937,887,29353,100
