id,rating,might,fights
1551267,78,4414,457
394708,574,16646,500
656857,1404,26915,500
787930,858,21795,500
132572,1902,31098,500
762923,1080,23989,500
919010,1187,24994,500
1443299,204,7349,491
919014,1209,25651,500
1181160,952,22530,500
394729,1141,24591,500
394730,-5,1976,165
1289127,679,19065,500
1440342,-4,1337,83
1443309,322,11783,500
1443310,345,11577,500
1050095,602,16981,499
1181169,534,16629,500
132608,1374,26926,500
525825,1115,24277,500
1354667,19,3408,383
394757,1216,25066,500
394758,1280,26509,500
787976,1260,25848,500
1443337,-10,2246,205
919051,567,16089,500
394766,1332,26554,500
1376515,491,14846,500
787988,682,19084,500
132630,721,19796,500
743001,1510,28034,500
1443352,-5,2809,295
656921,257,10043,500
787995,97,5316,480
1181213,165,6716,491
132641,1748,30325,500
132642,1232,25260,500
656931,680,19049,500
1312293,423,13887,500
132647,2752,36621,495
656936,1503,28564,500
656937,1644,29353,500
394796,1228,26087,500
263735,721,19174,500
394808,731,20187,500
1427251,711,18365,500
919101,884,21582,500
1312318,114,5440,477
1383606,75,5207,486
656960,975,23477,500
394817,94,5122,477
525892,399,13503,500
1443398,523,15481,500
525896,1073,24271,500
656971,1511,28530,500
1181261,797,20468,500
132687,2950,37502,490
788050,2251,33327,500
132693,1398,27438,500
263766,2561,35002,499
132695,607,17928,500
788064,665,18077,500
1443426,366,12831,500
1181283,446,14593,500
1552539,15,3670,425
788072,1401,26985,500
1181289,635,18411,500
263786,405,12719,500
1312364,1089,24522,500
525933,1192,25631,500
788078,333,11621,500
1312367,13,3420,373
919157,983,23403,500
1312374,13,3504,415
919160,969,22475,500
919161,789,20669,500
132732,1120,24669,500
919165,311,10826,500
394878,1456,27628,500
132737,1822,30838,500
657028,1557,28257,500
788101,1465,27670,500
657037,1178,25347,500
657038,694,19043,500
379769,2150,32851,500
1235215,422,14862,500
394897,1656,29330,500
263826,399,12749,500
371651,2320,33586,500
445237,1250,25568,500
590105,-4,1888,140
132762,1238,26110,500
394907,1500,28274,500
919196,628,17083,500
394909,1011,23340,500
1540732,177,6760,496
657060,714,19000,500
394917,1018,23239,500
263847,125,5686,483
1050282,925,22241,500
1551303,-8,2347,227
1462171,200,8471,500
263856,273,8814,498
657074,373,12548,500
1443507,132,5710,480
1529460,-10,3074,335
1050298,-4,1712,124
788156,1047,23810,500
1223626,95,5840,479
132799,2137,32974,500
1443523,383,11989,500
611958,958,22408,500
526022,1599,29225,500
1181383,536,16089,500
1050312,1415,27203,500
1181386,337,11406,500
1529463,135,6407,489
1443532,497,15652,500
788173,1721,29478,500
502733,891,22135,500
394962,2230,33079,500
788182,884,21826,500
132824,2491,34849,497
1507507,254,8827,499
1558192,54,4003,428
788189,2606,35139,500
657118,2312,33664,500
526047,1354,26633,500
526048,1737,29834,500
657121,1874,31032,500
263909,2285,33656,500
263912,420,13829,500
1529468,23,3556,404
1312490,450,14181,500
1245479,657,18000,500
1545099,237,8121,498
788205,949,22638,500
235743,1538,28689,500
788207,1721,30025,500
788209,729,19483,500
657138,748,19492,500
788211,1694,29439,500
263926,1451,27633,500
1312504,621,18399,500
